filename,focalID,trial,recorder,resident,blackwidow,weight,egg_present,mated,contest_ID,contest_black,contest_weight,contest_mated,structural,gumfooted,bodyshakes,abdomenpulse,contact,time_to_contact,leg_touch,chelicerae_touch,silk_spray,silk_attempt,kerfuffle,retreat,time_to_retreat,left_web,time_to_leave_web,victory,vic_tie,Note
207t1,105,1,Cam,0,1,0.48,0,0,201,1,0.29,0,44,8,0,28,1,279,1,0,0,0,0,1,582,1,590,0,2,
206t5 ,206,5,LP,1,1,0.478,0,0,79,0,0.112,1,35,46,1,18,0,,0,0,0,0,0,0,,0,,0,0,
206t5 ,79,5,LP,0,0,0.112,0,1,206,1,0.478,0,35,46,0,0,0,,0,0,0,0,0,0,,0,,0,0,
206t4,217,4,Cam,0,1,0.42,0,0,206,1,0.41,0,6,55,0,40,1,10,1,1,0,1,1,0,,0,322,1,1,
206t4,206,4,Cam,1,1,0.41,0,0,217,1,0.42,0,6,55,4,37,1,10,1,1,1,1,1,1,322,1,322,0,2,
206t3 ,206,3,Sharon,1,1,0.404,0,0,84,0,0.307,1,14,46,0,0,0,,0,0,0,0,0,0,,0,95,1,1,
206t3 ,84,3,Sharon,0,0,0.307,0,1,206,1,0.404,0,14,46,0,0,0,,0,0,0,0,0,0,,1,95,0,2,
206t2,211,2,Cam,0,1,0.4,0,0,206,1,0.36,0,3,23,0,12,1,398,1,1,0,0,0,1,434,0,,0,0,
206t2,206,2,Cam,1,1,0.38,0,0,211,1,0.4,0,3,23,1,59,1,398,1,1,0,0,0,0,,0,,0,0,
206t1,206,1,Sharon,1,1,0.35,0,0,13,0,0.08,1,0,47,0,0,1,,1,0,1,1,0,0,,0,,1,1,
206t1,13,1,Sharon,0,0,0.08,0,1,206,1,0.35,0,0,47,0,0,1,,1,0,0,0,0,1,,1,,0,2,
204t5 ,204,5,Sharon,1,1,0.23,0,0,118,1,0.407,1,0,54,0,0,0,,0,0,0,0,0,0,,0,,0,0,
204t5 ,118,5,Sharon,0,1,0.407,0,1,204,1,0.23,0,0,54,0,0,0,,0,0,0,0,0,0,,0,,0,0,
204t4,204,4,LP,1,1,0.28,0,0,103,1,0.28,1,0,51,2,28,0,,0,0,0,0,0,0,,0,,0,0,
204t4,103,4,LP,0,1,0.28,0,1,204,1,0.28,0,0,51,0,0,0,,0,0,0,0,0,0,,0,,0,0,
204t3,204,3,Cam,1,1,0.214,0,0,151,0,0.266,1,7,63,14,64,0,,0,0,0,0,0,0,,0,,0,0,
204t3,151,3,Cam,0,0,0.266,0,1,204,1,0.214,0,7,63,0,0,0,,0,0,0,0,0,0,,0,,0,0,
204t2 ,204,2,Sharon,1,1,0.22,0,0,123,1,0.39,1,0,66,0,0,1,51,0,0,0,0,1,1,53,0,,0,0,
204t2 ,123,2,Sharon,0,1,0.39,0,1,204,1,0.22,0,0,66,0,17,1,51,0,0,0,0,1,0,,0,,0,0,
204t1,204,1,Cam,1,1,0.22,0,0,38,0,0.22,0,3,35,0,0,1,,1,0,0,0,0,0,,0,,1,1,
204t1,38,1,Cam,0,0,0.22,0,0,204,1,0.22,0,3,35,0,0,1,,1,0,1,0,0,1,,1,,0,2,
